year,gdp,total_population,inequality_measure,control_of_corruption,rule_of_law,government_effectiveness,political_stability,voice_and_accountability,regulatory_quality,attacks,log_attacks
1987,3.458648471,2022800.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1988,5.107972312,2076322.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1989,4.178195743,2124185.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1990,-3.184460178,2098710.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1991,-8.693544731,2165342.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1992,-9.256465704,2167790.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1993,-3.16879155,2165130.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1994,2.134382695,2189395.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1995,6.376426886,2224945.0,0.419,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1996,2.235093843,2259507.0,0.4152,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1997,3.896713584,2291750.0,0.4115,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1998,3.339936599,2323809.0,0.4079,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1999,3.070369011,2356813.0,0.4128,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2000,1.146062137,2388299.0,0.4176,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2001,2.952710543,2417751.0,0.4225,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2002,4.732978466,2449027.0,0.4273,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2003,7.004634574,2480374.0,0.4336,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2004,10.62540596,2508412.0,0.4388,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2005,7.253665438,2536407.0,0.4433,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2006,8.556234817,2567168.0,0.4452,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.6599999999999999,0.4963422870542636,38.41653072321914,3.6741852898155956
2007,10.24801636,2601850.0,0.442,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.6599999999999999,0.4963422870542636,38.41653072321914,3.6741852898155956
2008,8.900367941,2643201.0,0.4325,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.6599999999999999,0.4963422870542636,38.41653072321914,3.6741852898155956
2009,-1.268598936,2691115.0,0.4225,0.25,0.475,0.25,0.6875,0.47,0.3928571,38.41653072321914,3.6741852898155956
2010,6.365161679,2738622.0,0.4304,0.125,0.4,0.25,0.6875,0.462,0.3928571,38.41653072321914,3.6741852898155956
2011,17.29077759,2786317.0,0.4329,0.125,0.4,0.25,0.625,0.4576667,0.3928571,38.41653072321914,3.6741852898155956
2012,12.31981985,2839705.0,0.4407,0.125,0.4,0.25,0.625,0.4616667,0.3928571,38.41653072321914,3.6741852898155956
2013,11.64891619,2899011.0,0.4324,0.125,0.4,0.25,0.6875,0.467,0.3928571,38.41653072321914,3.6741852898155956
2014,7.885225482,2963113.0,0.4361,0.125,0.425,0.25,0.75,0.4706667,0.4642857,38.41653072321914,3.6741852898155956
2015,2.379835807,3026864.0,0.427,0.125,0.425,0.25,0.75,0.4706667,0.5,38.41653072321914,3.6741852898155956
2016,1.489784487,3088856.0,0.4262,0.125,0.45,0.25,0.6875,0.5539999999999999,0.5,38.41653072321914,3.6741852898155956
2017,5.636876387,3148917.0,0.4247,0.125,0.45,0.25,0.8125,0.5499999999999999,0.5357143,38.41653072321914,3.6741852898155956
2018,7.74488062,3208189.0,0.4257,0.125,0.45,0.25,0.8125,0.5499999999999999,0.5357143,38.41653072321914,3.6741852898155956
2019,5.602244221,3267673.0,0.4215,0.125,0.45,0.25,0.75,0.5499999999999999,0.5357143,38.41653072321914,3.6741852898155956
2020,-4.557751976,3327204.0,0.4215,0.125,0.45,0.25,0.8125,0.5493333,0.5357143,38.41653072321914,3.6741852898155956
2021,3.4299037889400164,30500997.4950762,0.452997313900265,0.125,0.45,0.25,0.8125,0.5473333,0.5357143,38.41653072321914,3.6741852898155956
2022,3.4299037889400164,30500997.4950762,0.452997313900265,0.125,0.475,0.25,0.6875,0.5449999999999999,0.5357143,38.41653072321914,3.6741852898155956
2023,3.4299037889400164,30500997.4950762,0.452997313900265,0.125,0.475,0.25,0.6875,0.5493333,0.5714286,38.41653072321914,3.6741852898155956
2024,3.4299037889400164,30500997.4950762,0.452997313900265,0.25,0.5,0.25,0.75,0.5509999999999999,0.6071428999999999,38.41653072321914,3.6741852898155956
1970,3.4299037889400164,512407.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1971,3.4299037889400164,515449.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1972,3.4299037889400164,521785.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1973,3.4299037889400164,530220.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1974,3.4299037889400164,538902.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1975,3.4299037889400164,546487.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1976,3.4299037889400164,552562.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1977,3.4299037889400164,557576.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1978,3.4299037889400164,562065.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1979,3.4299037889400164,566888.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1980,3.4299037889400164,572608.0,0.2858,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1981,3.4299037889400164,579445.0,0.2858,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1982,3.4299037889400164,587001.0,0.2858,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1983,3.4299037889400164,594506.0,0.2857,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1984,3.4299037889400164,600884.0,0.2955,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1985,3.4299037889400164,605398.0,0.289,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1986,3.4299037889400164,607711.0,0.2854,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1987,3.4299037889400164,608144.0,0.2944,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1988,3.4299037889400164,607413.0,0.3089,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1989,3.4299037889400164,606571.0,0.2814,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1990,3.4299037889400164,606372.0,0.2792,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1991,3.4299037889400164,607105.0,0.284,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1992,3.4299037889400164,608516.0,0.2885,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1993,3.4299037889400164,610170.0,0.2932,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1994,3.4299037889400164,611389.0,0.2979,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1995,3.4299037889400164,611712.0,0.3035,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
